Country,Artist,Song,Language[7][8],Points,Place[9],Order,Year
Finland,Marion Rung,"""Tom Tom Tom""",English,93,6,1,1973
Belgium,Nicole and Hugo,"""Baby, Baby""",Dutch[a],58,17,2,1973
Portugal,Fernando Tordo,"""Tourada""",Portuguese,80,10,3,1973
Germany,Gitte,"""Junger Tag""",German,85,8,4,1973
Norway,Bendik Singers,"""It's Just a Game""","English, French[b]",89,7,5,1973
Monaco,Marie,"""Un train qui part""",French,85,8,6,1973
Spain,Mocedades,"""Eres tú""",Spanish,125,2,7,1973
Switzerland,Patrick Juvet,"""Je vais me marier, Marie""",French,79,12,8,1973
Yugoslavia,Zdravko Čolić,"""Gori vatra"" (Гори ватра)",Serbo-Croatian,65,15,9,1973
Italy,Massimo Ranieri,"""Chi sarà con te""",Italian,74,13,10,1973
Luxembourg,Anne-Marie David,"""Tu te reconnaîtras""",French,129,1,11,1973
Sweden,The Nova and the Dolls,"""You're Summer""",English,94,5,12,1973
Netherlands,Ben Cramer,"""De oude muzikant""",Dutch,69,14,13,1973
Ireland,Maxi,"""Do I Dream""",English,80,10,14,1973
United Kingdom,Cliff Richard,"""Power to All Our Friends""",English,123,3,15,1973
France,Martine Clémenceau,"""Sans toi""",French,65,15,16,1973
Israel,Ilanit,"""Ey Sham"" (אי שם)",Hebrew,97,4,17,1973
