Country,Artist,Song,Language[6][7],Points,Place[8],Order,Year
Finland,Carita,"""Keep Me Warm""",English,4,13,1,1974
United Kingdom,Olivia Newton-John,"""Long Live Love""",English,14,4,2,1974
Spain,Peret,"""Canta y sé feliz""",Spanish,10,9,3,1974
Norway,Anne-Karine Strøm and the Bendik Singers,"""The First Day of Love""",English,3,14,4,1974
Greece,Marinella,"""Krasi, thalassa ke t' agori mou""(Κρασί, θάλασσα και τ' αγόρι μου)",Greek,7,11,5,1974
Israel,Poogy,"""Natati La Khayay"" (נתתי לה חיי)",Hebrew,11,7,6,1974
Yugoslavia,Korni Grupa,"""Generacija '42"" (Генерација '42)",Serbo-Croatian,6,12,7,1974
Sweden,ABBA,"""Waterloo""",English,24,1,8,1974
Luxembourg,Ireen Sheer,"""Bye Bye I Love You""",French[b],14,4,9,1974
Monaco,Romuald,"""Celui qui reste et celui qui s'en va""",French,14,4,10,1974
Belgium,Jacques Hustin,"""Fleur de liberté""",French,10,9,11,1974
Netherlands,Mouth and MacNeal,"""I See a Star""",English,15,3,12,1974
Ireland,Tina Reynolds,"""Cross Your Heart""",English,11,7,13,1974
Germany,Cindy and Bert,"""Die Sommermelodie""",German,3,14,14,1974
Switzerland,Piera Martell,"""Mein Ruf nach dir""",German,3,14,15,1974
Portugal,Paulo de Carvalho,"""E depois do adeus""",Portuguese,3,14,16,1974
Italy,Gigliola Cinquetti,"""Sì""",Italian,18,2,17,1974
