Country,Artist,Song,Language[8][9],Points,Place[10],Order,Year
Netherlands,Patricia and Hearts of Soul,"""Waterman""",Dutch,7,7,1,1970
Switzerland,Henri Dès,"""Retour""",French,8,4,2,1970
Italy,Gianni Morandi,"""Occhi di ragazza""",Italian,5,8,3,1970
Yugoslavia,Eva Sršen,"""Pridi, dala ti bom cvet""",Slovene,4,11,4,1970
Belgium,Jean Vallée,"""Viens l'oublier""",French,5,8,5,1970
France,Guy Bonnet,"""Marie-Blanche""",French,8,4,6,1970
United Kingdom,Mary Hopkin,"""Knock, Knock Who's There?""",English,26,2,7,1970
Luxembourg,David Alexandre Winter,"""Je suis tombé du ciel""",French,0,12,8,1970
Spain,Julio Iglesias,"""Gwendolyne""",Spanish,8,4,9,1970
Monaco,Dominique Dussault,"""Marlène""",French,5,8,10,1970
Germany,Katja Ebstein,"""Wunder gibt es immer wieder""",German,12,3,11,1970
Ireland,Dana,"""All Kinds of Everything""",English,32,1,12,1970
