Country,Artist,Song,Language[5][6],Points,Place[7],Order,Year
Germany,Mary Roos,"""Nur die Liebe läßt uns leben""",German,107,3,1,1972
France,Betty Mars,"""Comé-comédie""",French,81,11,2,1972
Ireland,Sandie Jones,"""Ceol an Ghrá""",Irish,72,15,3,1972
Spain,Jaime Morey,"""Amanece""",Spanish,83,10,4,1972
United Kingdom,The New Seekers,"""Beg, Steal or Borrow""",English,114,2,5,1972
Norway,Grethe Kausland and Benny Borg,"""Småting""",Norwegian,73,14,6,1972
Portugal,Carlos Mendes,"""A festa da vida""",Portuguese,90,7,7,1972
Switzerland,Véronique Müller,"""C'est la chanson de mon amour""",French,88,8,8,1972
Malta,Helen and Joseph,"""L-imħabba""",Maltese,48,18,9,1972
Finland,Päivi Paunu and Kim Floor,"""Muistathan""",Finnish,78,12,10,1972
Austria,Milestones,"""Falter im Wind""",German,100,5,11,1972
Italy,Nicola Di Bari,"""I giorni dell'arcobaleno""",Italian,92,6,12,1972
Yugoslavia,Tereza Kesovija,"""Muzika i ti"" (Музика и ти)",Serbo-Croatian,87,9,13,1972
Sweden,Family Four,"""Härliga sommardag""",Swedish,75,13,14,1972
Monaco,Anne-Marie Godart and Peter MacLane,"""Comme on s'aime""",French,65,16,15,1972
Belgium,Serge and Christine Ghisoland,"""À la folie ou pas du tout""",French,55,17,16,1972
Luxembourg,Vicky Leandros,"""Après toi""",French,128,1,17,1972
Netherlands,Sandra and Andres,"""Als het om de liefde gaat""",Dutch,106,4,18,1972
