Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Spain,Azúcar Moreno,"""Bandido""",Spanish,96,5,1,1990
1,Greece,Christos Callow and Wave,"""Horis skopo"" (Χωρίς σκοπό)",Greek,11,19,2,1990
2,Belgium,Philippe Lafontaine,"""Macédomienne""",French,46,12,3,1990
3,Turkey,Kayahan,"""Gözlerinin Hapsindeyim""",Turkish,21,17,4,1990
4,Netherlands,Maywood,"""Ik wil alles met je delen""",Dutch,25,15,5,1990
5,Luxembourg,Céline Carzo,"""Quand je te rêve""",French,38,13,6,1990
6,United Kingdom,Emma,"""Give a Little Love Back to the World""",English,87,6,7,1990
7,Iceland,Stjórnin,"""Eitt lag enn""",Icelandic,124,4,8,1990
8,Norway,Ketil Stokkan,"""Brandenburger Tor""",Norwegian,8,21,9,1990
9,Israel,Rita,"""Shara Barkhovot"" (שרה ברחובות)",Hebrew,16,18,10,1990
10,Denmark,Lonnie Devantier,"""Hallo Hallo""",Danish,64,8,11,1990
11,Switzerland,Egon Egemann,"""Musik klingt in die Welt hinaus""",German,51,11,12,1990
12,Germany,Chris Kempers and Daniel Kovac,"""Frei zu leben""",German,60,9,13,1990
13,France,Joëlle Ursull,"""White and Black Blues""",French,132,2,14,1990
14,Yugoslavia,Tajči,"""Hajde da ludujemo"" (Хајде да лудујемо)",Serbo-Croatian,81,7,15,1990
15,Portugal,Nucha,"""Há sempre alguém""",Portuguese,9,20,16,1990
16,Ireland,Liam Reilly,"""Somewhere in Europe""",English,132,2,17,1990
17,Sweden,Edin-Ådahl,"""Som en vind""",Swedish,24,16,18,1990
18,Italy,Toto Cutugno,"""Insieme: 1992""",Italian[b],149,1,19,1990
19,Austria,Simone,"""Keine Mauern mehr""",German[c],58,10,20,1990
20,Cyprus,Haris Anastasiou,"""Milas poli"" (Μιλάς πολύ)",Greek,36,14,21,1990
21,Finland,Beat,"""Fri?""",Swedish,8,21,22,1990
