Unnamed: 0,Country,Artist,Song,Language,Points,Place,Order,Year
0,Italy,Anna Oxa and Fausto Leali,"""Avrei voluto""",Italian,56,9,1,1989
1,Israel,Gili and Galit,"""Derekh Hamelekh"" (דרך המלך)",Hebrew,50,12,2,1989
2,Ireland,Kiev Connolly and the Missing Passengers,"""The Real Me""",English,21,18,3,1989
3,Netherlands,Justine Pelmelay,"""Blijf zoals je bent""",Dutch,45,15,4,1989
4,Turkey,Pan,"""Bana Bana""",Turkish,5,21,5,1989
5,Belgium,Ingeborg,"""Door de wind""",Dutch,13,19,6,1989
6,United Kingdom,Live Report,"""Why Do I Always Get It Wrong""",English,130,2,7,1989
7,Norway,Britt Synnøve Johansen,"""Venners nærhet""",Norwegian,30,17,8,1989
8,Portugal,Da Vinci,"""Conquistador""",Portuguese,39,16,9,1989
9,Sweden,Tommy Nilsson,"""En dag""",Swedish,110,4,10,1989
10,Luxembourg,Park Café,"""Monsieur""",French,8,20,11,1989
11,Denmark,Birthe Kjær,"""Vi maler byen rød""",Danish,111,3,12,1989
12,Austria,Thomas Forstner,"""Nur ein Lied""",German,97,5,13,1989
13,Finland,Anneli Saaristo,"""La dolce vita""",Finnish,76,7,14,1989
14,France,Nathalie Pâque,"""J'ai volé la vie""",French,60,8,15,1989
15,Spain,Nina,"""Nacida para amar""",Spanish,88,6,16,1989
16,Cyprus,Fani Polymeri and Yiannis Savvidakis,"""Apopse as vrethoume"" (Απόψε ας βρεθούμε)",Greek,51,11,17,1989
17,Switzerland,Furbaz,"""Viver senza tei""",Romansh,47,13,18,1989
18,Greece,Marianna,"""To diko sou asteri"" (Το δικό σου αστέρι)",Greek,56,9,19,1989
19,Iceland,Daníel Ágúst Haraldsson,"""Það sem enginn sér""",Icelandic,0,22,20,1989
20,Germany,Nino de Angelo,"""Flieger""",German,46,14,21,1989
21,Yugoslavia,Riva,"""Rock Me""",Serbo-Croatian,137,1,22,1989
